Master,Slave,Notes
01,02,Master/slave negotiation
00,00,Confirmation
00,FE,FE = null
00,FE,
60,60,60 = “connected”
60,60,
60,60,
60,60,
60,00,
60,00,
60,FE,
60,FE,
60,FE,
60,FE,
60,FE,
60,D0,D0 = “showing trade/battle prompt”
60,D0,
00,00,
00,D0,Polling for selection (either player can select)
00,D0,
00,00,
00,D0,
00,D0,
00,00,
00,D0,
00,D0,
00,00,
D0,D0,
D0,D0,
00,00,
D0,D0,
D0,D0,
00,00,
D0,D0,
D0,D0,
00,00,
D0,D4,Slave selects trade center
D0,D4,
00,00,
FE,FE,
60,60,
60,60,
60,60,
60,60,
60,00,
60,00,
60,FD,Polling (waiting for main data transfer)
60,FD,
60,FD,
60,FD,
60,FD,
60,FD,
60,FD,
00,FD,
00,FD,
00,FD,
00,FD,
00,FD,
00,FD,
00,FD,
00,FD,
00,FD,
00,FD,
00,FD,
00,FD,
FD,FD,
FD,FD,
FD,FD,
FD,FD,
FD,FD,
FD,FD,
FD,FD,
FD,FD,
5B,FD,Master has initiated data transfer (non-FD byte)
C2,75,Sending random seed (10 bytes)
2B,EF,
96,6B,
03,E8,
72,67,
E2,E8,
54,6B,
C8,F0,
3E,77,
FD,00,End of random seed
FD,FD,
FD,FD,
FD,FD,
FD,FD,
FD,FD,
FD,FD,
FD,FD,
FD,8C,"Start of trainer data. Trainer names (10 bytes + terminator). NULL, M"
91,80,"R, A"
8E,93,"O, T"
86,93,"G, T"
50,87,"END, H"
00,84,"NULL, E"
00,96,"NULL, W"
00,50,"NULL, END"
00,00,
00,00,
00,00,
00,06,"Start of party Pokemon header. NULL, 6 Pokemon"
06,B3,"6 Pokemon, Wartortle"
49,15,"Moltres, Mew"
58,54,"Dratini, Pikachu"
59,96,"Dragonair, Pidgeotto"
42,03,"Dragonite, Nidoran (male)"
83,B9,"Mewtwo, Oddish"
15,FF,"Mew, END"
FF,B3,"END, Begin Wartortle stats"
49,00,"Begin Moltres stats, Wartortle HP high byte"
01,53,"Moltres HP high byte, Wartortle HP low byte"
2B,00,"Moltres HP low byte, Wartortle PC level"
00,00,"Moltres PC level, Wartortle status"
00,15,"Moltres status, Wartortle type 1 (water)"
14,15,"Moltres type 1 (fire), Wartortle type 2 (water)"
02,2D,"Moltres type 2 (flying), Wartortle catch rate"
03,21,"Moltres catch rate, Wartortle move 1 (tackle)"
13,2C,"Moltres move 1 (fly), Wartortle move 2 (bite)"
2B,91,"Moltres move 2 (leer), Wartortle move 3 (bubble)"
61,37,"Moltres move 3 (agility), Wartortle move 4 (water gun)"
8F,5E,"Moltres move 4 (sky attack), Wartortle original trainer high byte"
63,AF,"Moltres original trainer high byte, Wartortle original trainer low byte"
EE,00,"Moltres original trainer low byte, Wartortle exp byte 2"
13,67,"Moltres exp byte 2, Wartortle exp byte 1"
12,3D,"Moltres exp byte 1, Wartortle exp byte 0"
D0,15,"Moltres exp byte 0, Wartortle HP EV high byte"
04,78,"Moltres HP EV high byte, Wartortle HP EV low byte"
38,1A,"Moltres HP EV low byte, Wartortle attack EV high byte"
05,28,"Moltres attack EV high byte, Wartortle attack EV low byte"
4C,19,"Moltres attack EV low byte, Wartortle defense EV high byte"
05,7F,"Moltres defense EV high byte, Wartortle defense EV low byte"
33,1B,"Moltres defense EV low byte, Wartortle speed EV high byte"
05,68,"Moltres speed EV high byte, Wartortle speed EV low byte"
9C,13,"Moltres speed EV low byte, Wartortle special EV high byte"
05,E2,"Moltres special EV high byte, Wartortle special EV low byte"
6F,EA,"Moltres special EV low byte, Wartortle IV high byte"
C9,62,"Moltres IV high byte, Wartortle IV low byte"
74,23,"Moltres IV low byte, Wartortle move 1 (tackle) PP"
0F,19,"Moltres move 1 (fly) PP, Wartortle move 2 (bite) PP"
1E,1E,"Moltres move 2 (leer) PP, Wartortle move 3 (bubble) PP"
1E,19,"Moltres move 3 (agility) PP, Wartortle move 4 (water gun) PP"
05,1F,"Moltres move 4 (sky attack) PP, Wartortle level"
64,00,"Moltres level, Wartortle max HP high byte"
01,53,"Moltres max HP high byte, Wartortle max HP low byte"
2B,00,"Moltres max HP low byte, Wartortle attack high byte"
00,3A,"Moltres attack high byte, Wartortle attack low byte"
E2,00,"Moltres attack low byte, Wartortle defense high byte"
00,43,"Moltres defense high byte, Wartortle defense low byte"
C9,00,"Moltres defense low byte, Wartortle speed high byte"
00,32,"Moltres speed high byte, Wartortle speed low byte"
C5,00,"Moltres speed low byte, Wartortle special high byte"
