Master,Slave,Notes
29,5A,
29,55,"Master/slave negotiation (29 = internal clock, 55 = external clock)"
1C,55,
1C,00,Master selects music type. 1C = A-type music
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1C,39,
1D,39,1D = B-type music
1D,39,
1D,39,
1D,39,
1D,39,
1D,39,
1D,39,
1D,39,
1D,39,
1D,39,
1D,39,
1D,39,
1D,39,
1D,39,
1D,39,
1D,39,
1D,39,
1D,39,
1D,39,
1D,39,
1D,39,
1D,39,
1D,39,
1D,39,
1D,39,
1D,39,
1D,39,
1D,39,
1D,39,
1D,39,
1D,39,
1D,39,
1D,39,
1D,39,
1F,39,1F = Off/no music
1F,39,
1F,39,
1F,39,
1F,39,
1F,39,
1F,39,
1F,39,
1F,39,
1F,39,
1F,39,
1F,39,
1F,39,
1F,39,
1F,39,
1F,39,
1F,39,
1E,39,1E = C-type music
1E,39,
1E,39,
1E,39,
1E,39,
1E,39,
1E,39,
1E,39,
50,39,Master confirms music (50 = confirm)
00,00,Players select difficulty. Both start at 0
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,01,Slave selects difficulty 1
00,01,
00,01,
00,01,
00,01,
00,01,
00,01,
00,01,
00,01,
00,01,
00,01,
01,01,
01,01,
01,01,
01,01,
02,01,Master selects difficulty 2
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
02,01,
60,01,Master starts the game
29,55,Master/slave negotiation again
82,00,Master sends initial garbage (10 rows x 10 cols)
84,00,"8x = Solid space (x is the tile, ranges from 0-7 inclusive)"
83,00,
2F,00,2F = Blank space
86,00,
80,00,
83,00,
2F,00,
81,00,
2F,00,
83,00,
2F,00,
87,00,
2F,00,
2F,00,
83,00,
2F,00,
2F,00,
87,00,
2F,00,
85,00,
2F,00,
85,00,
2F,00,
2F,00,
84,00,
81,00,
2F,00,
85,00,
2F,00,
85,00,
2F,00,
2F,00,
2F,00,
2F,00,
85,00,
2F,00,
2F,00,
2F,00,
2F,00,
83,00,
2F,00,
2F,00,
2F,00,
2F,00,
86,00,
81,00,
2F,00,
2F,00,
80,00,
85,00,
2F,00,
87,00,
2F,00,
80,00,
82,00,
87,00,
2F,00,
2F,00,
2F,00,
2F,00,
2F,00,
80,00,
80,00,
82,00,
85,00,
2F,00,
84,00,
81,00,
2F,00,
