Title,ID,System,Link cable players,Compatibility rating,Compatibility notes
4-in-1 Fun Pak,DMG-F4-USA,DMG,2,Unsupported,
4-in-1 FunPak Volume II,DMG-F9-USA,DMG,2,Unsupported,
All Star Tennis 2000,DMG-AZTP-EUR,DMG/CGB,2,Unsupported,
Asteroids,DMG-AN-USA,DMG,2,Unsupported,
Asteroids,DMG-AARE-USA,DMG/CGB,2,Unsupported,
Atomic Punk,DMG-HB-USA,DMG,2,Unsupported,
Azure Dreams,DMG-AAZE-USA,DMG/CGB,2,Unsupported,
Balloon Kid,DMG-BT-USA,DMG,2,Unsupported,
Baseball,DMG-BS-USA,DMG,2,Unsupported,
Bases Loaded,DMG-BK-USA,DMG,2,Unsupported,
Battle Arena Toshinden,DMG-ATDE-USA,DMG,2,Unsupported,
Battle Bull,DMG-BR-USA,DMG,2,Unsupported,
Battleship,DMG-NB-USA,DMG,2,Unsupported,
Bill Elliot's NASCAR Fast Tracks,DMG-EL-USA,DMG,2,Unsupported,
Bionic Battler,DMG-VS-USA,DMG,2,Unsupported,
Blades of Steel,DMG-UB-USA,DMG,2,Unsupported,
Bo Jackson: Two Games in One,DMG-BJ-USA,DMG,2,Unsupported,
Bomberman Quest,DMG-AVQE-USA,DMG/CGB,2,Unsupported,
Boomer's Adventures in ASMIK World,DMG-AS-USA,DMG,2,Unsupported,
BreakThru!,DMG-ABXE-USA,DMG,2,Unsupported,
Burai Fighter Deluxe,DMG-BU-USA,DMG,2,Unsupported,
Burgertime Deluxe,DMG-GM-USA,DMG,2,Unsupported,
Bust-a-Move Millennium,CGB-BANE-USA,CGB,2,Unsupported,
Centipede,DMG-AC4E-USA,DMG,2,Unsupported,
Championship Pool,DMG-H4-USA,DMG,2,Unsupported,
CosmoTank,DMG-CT-USA,DMG,2,Unsupported,
Cyraid,DMG-WR-USA,DMG,2,Unsupported,
Dead Heat Scramble,DMG-DH-USA,DMG,2,Unsupported,
Dexterity,DMG-FU-USA,DMG,2,Unsupported,
Donkey Kong Country,CGB-BDDE-USA,CGB,2,Unsupported,
Double Dragon,DMG-DD-USA,DMG,2,Unsupported,
Double Dragon II,DMG-D2-USA,DMG,2,Unsupported,
Double Dragon 3: The Arcade Game,DMG-DX-USA,DMG,2,Unsupported,
Double Dribble: 5 on 5,DMG-DW-USA,DMG,2,Unsupported,
Dr. Mario,DMG-VU-USA,DMG,2,Unsupported,
Dragon Ball Z: Legendary Super Warriors,CGB-BBZE-USA,CGB,2,Unsupported,
Dragon Warrior III,CGB-BD3E-USA,CGB,2,Unsupported,
Dragon Warrior Monsters,DMG-AWQE-USA,DMG/CGB,2,Unsupported,
Dragon Warrior Monsters 2: Cobi's Journey,DMG-BQLE-USA,DMG/CGB,2,Unsupported,
Dragon Warrior Monsters 2: Tara's Adventure,DMG-BQIE-USA,DMG/CGB,2,Unsupported,
Extra Bases,DMG-FS-USA,DMG,2,Unsupported,
F-1 Race,DMG-F1-USA,DMG,4,Unsupported,
F-1 World Grand Prix,CGB-AFIP-USA,CGB,2,Unsupported,
F1 Pole Position,DMG-F5-USA,DMG,4,Unsupported,
Faceball 2000,DMG-FA-USA,DMG,4,Unsupported,
Fastest Lap,DMG-F2-USA,DMG,2,Unsupported,
Fighting Simulator 2 in 1: Flying Warriors,DMG-HR-USA,DMG,2,Unsupported,
Fist of the North Star,DMG-HK-USA,DMG,2,Unsupported,
Flipull,DMG-FP-USA,DMG,2,Unsupported,
Fortified Zone,DMG-IY-USA,DMG,2,Unsupported,
Game & Watch Gallery,DMG-AGAE-USA,DMG,2,Unsupported,
Game & Watch Gallery 2,DMG-AGLE-USA,DMG/CGB,2,Unsupported,
Game & Watch Gallery 3,DMG-AGQE-USA,DMG/CGB,2,Unsupported,
Gauntlet II,DMG-G2-USA,DMG,4,Unsupported,
Go! Go! Tank,DMG-GT-USA,DMG,2,Unsupported,
Goal!,DMG-JV-USA,DMG,2,Unsupported,
Golf,DMG-GO-USA,DMG,2,Unsupported,
HAL Wrestling,DMG-PR-USA,DMG,2,Unsupported,
Harry Potter and the Chamber of Secrets,CGB-BH6E-USA,CGB,2,Unsupported,
Harvest Moon,DMG-AYWE-USA,DMG,2,Unsupported,
Hatris,DMG-HT-USA,DMG,2,Unsupported,
Heavyweight Championship Boxing,DMG-BX-USA,DMG,2,Unsupported,
Heiankyo Alien,DMG-HA-USA,DMG,2,Unsupported,
High Stakes Gambling,DMG-HY-USA,DMG,2,Unsupported,
Hit the Ice,DMG-HC-USA,DMG,2,Unsupported,
The Hunt For Red October,DMG-HF-USA,DMG,2,Unsupported,
Hyper Lode Runner,DMG-HL-USA,DMG,2,Unsupported,
In Your Face,DMG-YF-USA,DMG,2,Unsupported,
Ishido: The Way of the Stones,DMG-ST-USA,DMG,2,Unsupported,
Jeep Jamboree Off-Road Adventure,DMG-JJ-USA,DMG,2,Unsupported,
Jeopardy!,DMG-JP-USA,DMG,2,Unsupported,
Jeopardy! Sports Edition,DMG-JE-USA,DMG,2,Unsupported,
Jimmy Connors Tennis,DMG-JC-USA,DMG,2,Unsupported,
Ken Griffey Jr. Presents: Major League Baseball,DMG-AKGE-USA,DMG,2,Unsupported,
Killer Instinct,DMG-AKLE-USA,DMG,2,Unsupported,
The King of Fighters '95,DMG-AKFE-USA,DMG,2,Unsupported,
Kingdom Crusade,DMG-KC-USA,DMG,2,Unsupported,
Kirby's Star Stacker,DMG-AKCE-USA,DMG,2,Unsupported,
Kwirk,DMG-AP-USA,DMG,2,Unsupported,
Loopz,DMG-LP-USA,DMG,2,Unsupported,
Magical Tetris Challenge,CGB-AT7E-USA,CGB,2,Unsupported,
