Master,Slave,Notes
75,54,Role negotiation
E9,EA,Sync 1
F0,FA,Sync 2
00,00,Waiting on fighter selection menu
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
10,00,Master presses right
10,00,
10,00,
10,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
10,00,Master presses right
10,00,
10,00,
10,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
80,00,Master presses down
80,00,
80,00,
80,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
08,00,Master presses start
08,00,
08,00,
08,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,20,Slave presses left
00,20,
00,20,
00,20,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,20,Slave presses left
00,20,
00,20,
00,20,
00,20,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,80,Slave presses down
00,80,
00,80,
00,80,
00,80,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,08,Slave presses start (move to stage select now that both players have chosen)
00,08,
00,08,
00,08,
00,08,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
80,00,Master presses down
80,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
80,00,Master presses down
80,00,
80,00,
80,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,80,Slave presses down
00,80,
00,80,
00,80,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,80,Slave presses down
00,80,
00,80,
00,80,
00,80,
00,80,
00,80,
00,80,
00,80,
00,80,
00,80,
00,80,
00,80,
00,80,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,10,Slave presses right
00,10,
00,10,
00,10,
00,10,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,10,Slave presses right
00,10,
00,10,
00,10,
00,10,
00,10,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,08,Slave presses start (stage selected)
00,08,
00,08,
00,08,
00,08,
00,08,
00,08,
00,08,
00,08,
00,08,
00,00,Waiting on fight start screen
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
E9,EA,Sync 1
F0,FA,Sync 2 (fight start)
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
10,00,Master sends joypad input (right)
10,00,
10,00,
10,00,
10,00,
10,00,
10,00,
10,00,
10,00,
10,00,
10,00,
10,00,
10,00,
10,00,
10,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
10,00,
10,00,
10,00,
10,00,
10,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
00,00,
10,00,
10,00,
10,00,
10,00,
10,00,
10,00,
10,00,
10,00,
10,00,
10,00,
10,00,
10,00,
